Country Name,Country Code,Indicator Name,2017,2018,2019,2020,2021
Russian Federation,RUS,GDP (current US$),1.57E+12,1.66E+12,1.69E+12,1.49E+12,1.78E+12
Rwanda,RWA,GDP (current US$),9252834120,9642440646,10356327149,10184345442,11070356519
South Asia,SAS,GDP (current US$),3.43E+12,3.53E+12,3.65E+12,3.48E+12,4.09E+12
Saudi Arabia,SAU,GDP (current US$),6.89E+11,8.17E+11,8.04E+11,7.03E+11,8.34E+11
Sudan,SDN,GDP (current US$),1.30E+11,32333780383,32338079165,26987563444,34326058557
Senegal,SEN,GDP (current US$),20996564752,23116897847,23398811424,24493157583,27625388352
Singapore,SGP,GDP (current US$),3.43E+11,3.77E+11,3.75E+11,3.45E+11,3.97E+11
Solomon Islands,SLB,GDP (current US$),1483793468,1574622018,1570093229,1545888426,1645213882
Sierra Leone,SLE,GDP (current US$),3719369107,4085114794,4076578543,4063289450,4200380124
El Salvador,SLV,GDP (current US$),24979190000,26020850000,26896660000,24638720000,28736940000
San Marino,SMR,GDP (current US$),1528630705,1655300897,1616231696,1544713785,
Somalia,SOM,GDP (current US$),5609000000,5850677296,6476674592,6965285325,7292721820
Serbia,SRB,GDP (current US$),44179055280,50640650221,51514222382,53335016425,63068134601
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1.70E+12,1.73E+12,1.79E+12,1.70E+12,1.92E+12
South Sudan,SSD,GDP (current US$),,,,,
Sub-Saharan Africa,SSF,GDP (current US$),1.70E+12,1.73E+12,1.79E+12,1.71E+12,1.92E+12
Small states,SST,GDP (current US$),4.81E+11,5.28E+11,5.20E+11,4.52E+11,5.27E+11
Sao Tome and Principe,STP,GDP (current US$),375614126.2,412253809.7,427425039.7,472914469.9,547092915
Suriname,SUR,GDP (current US$),3591623596,3996247906,3984483762,2884248048,2862131980
Slovak Republic,SVK,GDP (current US$),95393515078,1.06E+11,1.05E+11,1.05E+11,1.15E+11
Slovenia,SVN,GDP (current US$),48589100043,54163591695,54178877606,53589609581,61526331889
Sweden,SWE,GDP (current US$),5.41E+11,5.55E+11,5.34E+11,5.41E+11,6.27E+11
Eswatini,SWZ,GDP (current US$),4402969226,4666784618,4466066557,3984840580,4941373182
Sint Maarten (Dutch part),SXM,GDP (current US$),1191620112,1185474860,,,
Seychelles,SYC,GDP (current US$),1573428277,1636310049,1684228529,1200634489,1320053793
Syrian Arab Republic,SYR,GDP (current US$),16340665432,21445775364,,,
Turks and Caicos Islands,TCA,GDP (current US$),1022365000,1113178000,1197415000,924583000,943269768
Chad,TCD,GDP (current US$),10000395242,11239167048,11314951343,10715396135,11779980802
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),1.49E+13,1.66E+13,1.72E+13,1.75E+13,2.07E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),3.91E+12,4.07E+12,4.16E+12,3.88E+12,4.53E+12
Togo,TGO,GDP (current US$),6395472574,7112200725,7220395248,7574636979,8413200568
Thailand,THA,GDP (current US$),4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11
Tajikistan,TJK,GDP (current US$),7536439875,7765014424,8300784857,8133996648,8746270636
Turkmenistan,TKM,GDP (current US$),37926285714,40765428571,45231428571,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),5.59E+12,5.46E+12,5.37E+12,4.50E+12,5.20E+12
Timor-Leste,TLS,GDP (current US$),1615609700,1583876200,2047931700,1902156800,1959134744
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1.44E+12,1.36E+12,1.37E+12,1.25E+12,1.44E+12
Tonga,TON,GDP (current US$),460379145,489235527.4,512350059.4,488829964.1,
South Asia (IDA & IBRD),TSA,GDP (current US$),3.43E+12,3.53E+12,3.65E+12,3.48E+12,4.09E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1.70E+12,1.73E+12,1.79E+12,1.71E+12,1.92E+12
Trinidad and Tobago,TTO,GDP (current US$),23180107752,23820742957,23886216403,21392536138,21391802311
Tunisia,TUN,GDP (current US$),42164007605,42685972269,41772900763,42514151614,46840042941
Turkiye,TUR,GDP (current US$),8.59E+11,7.78E+11,7.61E+11,7.20E+11,8.15E+11
Tuvalu,TUV,GDP (current US$),45217657.88,47818290.5,54223149.11,55054710.62,63100961.54
Tanzania,TZA,GDP (current US$),53320625959,57003713611,61136873692,62409709111,67775101794
Uganda,UGA,GDP (current US$),30744473912,32927025573,35353060634,37600368181,40434701517
Ukraine,UKR,GDP (current US$),1.12E+11,1.31E+11,1.54E+11,1.57E+11,2.00E+11
Upper middle income,UMC,GDP (current US$),2.16E+13,2.33E+13,2.37E+13,2.28E+13,2.71E+13
Uruguay,URY,GDP (current US$),64233966861,64515038268,61231149881,53560755047,59319547636
United States,USA,GDP (current US$),1.95E+13,2.05E+13,2.14E+13,2.09E+13,2.30E+13
Uzbekistan,UZB,GDP (current US$),62081323299,52633143808,59907674027,59894305353,69238903106
St. Vincent and the Grenadines,VCT,GDP (current US$),847620214.8,884328180.5,910149698.9,872134546.8,889775243.4
"Venezuela, RB",VEN,GDP (current US$),,,,,
British Virgin Islands,VGB,GDP (current US$),,,,,
Virgin Islands (U.S.),VIR,GDP (current US$),3794000000,3922000000,4117000000,4204000000,
Vietnam,VNM,GDP (current US$),2.81E+11,3.09E+11,3.30E+11,3.43E+11,3.63E+11
Vanuatu,VUT,GDP (current US$),880062103,914736985.4,936526267.6,896827873.1,983469256.8
World,WLD,GDP (current US$),8.14E+13,8.64E+13,8.77E+13,8.49E+13,9.61E+13
Samoa,WSM,GDP (current US$),832025556.1,821286938.9,852007104.7,807147527.6,788389971.6
Kosovo,XKX,GDP (current US$),7180813376,7878508503,7899879086,7716925356,9007159196
"Yemen, Rep.",YEM,GDP (current US$),26842231205,21606161066,21887614217,18840511908,21061691630
South Africa,ZAF,GDP (current US$),3.81E+11,4.05E+11,3.88E+11,3.35E+11,4.20E+11
Zambia,ZMB,GDP (current US$),25873601261,26311590297,23308667781,18110631358,21203059080
Zimbabwe,ZWE,GDP (current US$),17584890937,18115543791,19284289739,18051170799,26217726717
