,country,cou_code,region,data_source,date_updated,total_vax,vax_1+,total_vax_rate,vax_1+_rate,full_vax,full_vax_rate,vax_used,vax_date,num_vax_types,boost_add_dose,boost_add_dose_rate
174,Saint Helena,SHN,AFRO,OWID,2021-05-05,7892.0,4361.0,129.995,71.833,3531.0,58.162,AstraZeneca - AZD1222,,1.0,,
175,Saint Kitts and Nevis,KNA,AMRO,REPORTING,2022-10-28,64225.0,33794.0,120.742,63.532,26944.0,50.654,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3.0,3465.0,6.514
176,Saint Lucia,LCA,AMRO,REPORTING,2022-10-28,122977.0,60140.0,66.971,32.751,54971.0,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5.0,7866.0,4.284
177,Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2022-10-28,72941.0,37311.0,65.748,33.632,31433.0,28.333,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-01,5.0,4197.0,3.783
178,Samoa,WSM,WPRO,REPORTING,2022-09-26,440413.0,191071.0,221.967,96.299,177489.0,89.454,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-18,2.0,71853.0,36.214
179,San Marino,SMR,EURO,REPORTING,2022-05-22,69338.0,26357.0,204.3,76.501,23633.0,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-02-24,2.0,19348.0,56.158
180,Sao Tome and Principe,STP,AFRO,REPORTING,2022-10-23,227603.0,127410.0,103.853,58.136,103508.0,47.23,"AstraZeneca - Vaxzevria,SII - Covishield",2021-03-15,2.0,32393.0,14.781
181,Saudi Arabia,SAU,EMRO,REPORTING,2022-10-27,67979420.0,26918732.0,195.265,77.322,25320917.0,72.732,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-06,10.0,15739771.0,45.211
182,Senegal,SEN,AFRO,REPORTING,2022-10-23,2469499.0,1732282.0,14.749,10.346,1263032.0,7.543,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-02-23,3.0,591916.0,3.535
183,Serbia,SRB,EURO,REPORTING,2022-09-04,6717622.0,3396340.0,97.0,49.033,3321282.0,47.949,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,0.0,0.0
184,Seychelles,SYC,AFRO,REPORTING,2022-10-23,217487.0,85655.0,221.142,87.095,81494.0,82.864,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",2021-01-10,4.0,43749.0,44.484
185,Sierra Leone,SLE,AFRO,REPORTING,2022-10-30,4834206.0,3513208.0,60.602,44.042,2736804.0,34.309,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-15,2.0,71618.0,0.898
186,Singapore,SGP,WPRO,REPORTING,2022-09-28,14695435.0,5161367.0,251.189,88.223,5120432.0,87.524,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0,4413636.0,75.442
187,Sint Eustatius,XBA,AMRO,REPORTING,2022-10-28,4257.0,1791.0,135.616,57.056,1686.0,53.711,,,,780.0,24.849
188,Sint Maarten,SXM,AMRO,REPORTING,2022-10-28,65324.0,29788.0,152.334,69.465,26515.0,61.832,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,3.0,9021.0,21.037
189,Slovakia,SVK,EURO,REPORTING,2022-10-16,7176980.0,2838635.0,131.5,52.01,2790217.0,51.123,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-01-06,6.0,1683402.0,30.844
190,Slovenia,SVN,EURO,REPORTING,2022-10-16,2999524.0,1233013.0,143.1,58.831,1202504.0,57.375,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5.0,654976.0,31.251
191,Solomon Islands,SLB,WPRO,REPORTING,2022-10-09,540361.0,315969.0,78.668,46.0,212173.0,30.889,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-23,4.0,14725.0,2.144
192,Somalia,SOM,EMRO,REPORTING,2022-10-30,8132773.0,7137557.0,51.171,44.909,5936922.0,37.355,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-16,11.0,,
193,South Africa,ZAF,AFRO,REPORTING,2022-10-30,37796915.0,23825968.0,63.729,40.173,20898618.0,35.237,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2.0,3789414.0,6.389
194,South Sudan,SSD,AFRO,REPORTING,2022-10-30,2180708.0,2143114.0,19.482,19.146,2101283.0,18.772,"Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-06,2.0,,
195,Spain,ESP,EURO,REPORTING,2022-10-16,103064170.0,41287568.0,217.7,87.229,37488975.0,79.203,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0,26001927.0,54.934
196,Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590.0,17143761.0,187.345,80.061,14752827.0,68.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-29,6.0,8220002.0,38.387
197,Sudan,SDN,EMRO,REPORTING,2022-05-30,8179010.0,6651268.0,18.653,15.168,4536964.0,10.347,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-09,11.0,50234.0,0.115
198,Suriname,SUR,AMRO,REPORTING,2022-10-28,554588.0,267820.0,94.538,45.654,237879.0,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,5.0,48889.0,8.334
199,Sweden,SWE,EURO,REPORTING,2022-10-16,22750237.0,7504601.0,220.3,72.666,7366812.0,71.331,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5.0,5525594.0,53.503
200,Switzerland,CHE,EURO,REPORTING,2022-10-09,15844749.0,6092913.0,183.1,70.798,5718238.0,66.445,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,4.0,4093370.0,47.564
201,Syrian Arab Republic,SYR,EMRO,REPORTING,2022-10-16,4777586.0,3050850.0,27.299,17.433,2105113.0,12.029,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-01,11.0,75881.0,0.434
202,Tajikistan,TJK,EURO,REPORTING,2022-08-21,15441380.0,5282863.0,161.9,55.39,5120562.0,53.688,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-24,6.0,4951036.0,51.91
203,Thailand,THA,SEARO,REPORTING,2022-09-30,142635014.0,57005497.0,204.348,81.67,53486086.0,76.628,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",2021-02-28,8.0,32143431.0,46.051
204,The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820.0,53813491.0,222.8,79.068,50762968.0,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3.0,,
205,Timor-Leste,TLS,SEARO,REPORTING,2022-10-29,1856567.0,859542.0,140.815,65.194,758817.0,57.554,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-07,4.0,238208.0,18.067
206,Togo,TGO,AFRO,REPORTING,2022-10-30,3381542.0,2232792.0,40.846,26.97,1451712.0,17.535,SII - Covishield,2021-03-10,1.0,138868.0,1.677
207,Tokelau,TKL,WPRO,REPORTING,2022-09-05,4924.0,1494.0,364.741,110.667,1494.0,110.667,Pfizer BioNTech - Comirnaty,2021-07-20,1.0,968.0,71.704
208,Tonga,TON,WPRO,REPORTING,2022-10-10,203004.0,87242.0,192.066,82.541,76800.0,72.662,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-04-14,2.0,38082.0,36.03
209,Trinidad and Tobago,TTO,AMRO,REPORTING,2022-10-28,1582011.0,753588.0,113.042,53.847,717614.0,51.277,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-17,5.0,169016.0,12.077
210,Tunisia,TUN,EMRO,REPORTING,2022-11-01,13154159.0,7209983.0,111.3,61.005,6384739.0,54.023,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-13,10.0,1250615.0,10.582
211,Turkey,TUR,EURO,OWID,2022-10-31,152405372.0,57932853.0,,69.669,53167127.0,63.937,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3.0,,
212,Turkmenistan,TKM,EURO,REPORTING,2022-09-04,13514000.0,3728000.0,224.1,61.812,3689000.0,61.165,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2021-02-24,7.0,3340000.0,55.379
213,Turks and Caicos Islands,TCA,AMRO,REPORTING,2022-10-28,72837.0,32338.0,188.122,83.522,30288.0,78.227,Pfizer BioNTech - Comirnaty,2021-01-11,1.0,7272.0,18.782
214,Tuvalu,TUV,WPRO,REPORTING,2022-08-31,25591.0,9603.0,217.02,81.437,9322.0,79.054,AstraZeneca - Vaxzevria,2021-04-13,1.0,5528.0,46.879
215,Uganda,UGA,AFRO,REPORTING,2022-10-09,25783131.0,18867075.0,56.368,41.248,12765601.0,27.908,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-10,5.0,431349.0,0.943
216,Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577.0,15774300.0,72.4,36.069,15153577.0,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,6.0,741197.0,1.695
217,United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054.0,9991089.0,251.982,101.018,9792266.0,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11.0,5138699.0,51.956
